@@,itemlabel,item,startdate,enddate
+++,Arif Hüdai Oral,Q50356237,1963-12-27,1965-02-22
+++,Mehmet Turgut,Q6063596,1965-02-20,1965-10-27
+++,İbrahim Deriner,Q6015431,1965-10-27,1967-04-01
+++,Refet Sezgin,Q12811502,1967-04-01,1969-11-03
+++,Sabit Osman Avcı,Q2210038,1969-11-03,1970-11-28
+++,Mehmet Selahattin Kılıç,Q6076989,1970-11-28,1970-12-10
+++,Nahit Menteşe,Q6091669,1970-12-10,1971-03-26
+++,İhsan Topaloğlu,Q6060908,1971-03-26,1971-09-28
+++,Atilla Sav,Q6056324,1971-09-28,1971-11-10
+++,Nezih Devres,Q6012252,1971-11-10,1972-05-22
+++,Mehmet Nuri Kodamanoğlu,Q6047594,1972-05-22,1973-04-15
+++,Kemal Demir,Q6077307,1973-04-15,1974-01-26
+++,Cahit Kayra,Q6092623,1974-01-26,1974-11-17
+++,Erhan Işıl,Q6069864,1974-11-17,1975-03-31
+++,Mehmet Selahattin Kılıç,Q6076989,1975-03-31,1977-06-21
+++,Neşet Akmandor,Q6047478,1977-06-21,1977-07-21
+++,Kamran İnan,Q3678351,1977-07-21,1978-01-05
+++,Deniz Baykal,Q381297,1978-01-05,1979-11-12
+++,Esat Kıratlıoğlu,Q6053904,1979-11-12,1980-09-12
+++,Serbülent Bingöl,Q6020446,1980-09-21,1981-12-22
+++,Fahir İlker,Q6012054,1981-12-23,1983-12-13
+++,Cemal Büyükbaş,Q6032354,1983-12-13,1985-01-07
+++,Sudi Türel,Q6037813,1985-01-07,1987-12-22
+++,Fahrettin Kurt,Q6040558,1987-12-22,1991-04-30
+++,Togay Gemalmaz,Q6030242,1991-04-30,1991-06-23
+++,Muzaffer Arıcı,Q6040802,1991-06-23,1991-11-21
+++,Mehmet Ersin Faralyalı,Q6071630,1991-11-21,1993-06-25
+++,Veysel Atasoy,Q6083107,1993-06-25,1995-10-06
+++,Şinasi Altıner,Q6058055,1995-10-06,1996-03-07
+++,Hüsnü Doğan,Q6081993,1996-03-07,1996-06-28
+++,Recai Kutan,Q263102,1996-06-28,1997-06-30
+++,Mustafa Cumhur Ersümer,Q6065381,1997-06-30,1999-01-12
+++,Ahmet Ziya Aktaş,Q6060238,1999-01-12,1999-05-29
+++,Mustafa Cumhur Ersümer,Q6065381,1999-05-29,2001-05-09
+++,Zeki Çakan,Q6064101,2001-05-09,2002-11-18
+++,Mehmet Hilmi Güler,Q1917341,2002-11-18,2009-05-01
->,Taner Yıldız,Q7682560,2011-07-06->2009-05-01,2013-12-25->2015-08-28
+++,Ali Rıza Alaboyun,Q6035094,2015-08-28,2015-11-24
+++,Berat Albayrak,Q6052158,2015-11-24,2018-07-10
