@@,itemlabel,item,startdate,enddate
+++,Bekir Sami Kunduh,Q473325,1920-05-03,1921-05-08
+++,Ahmet Muhtar Mollaoğlu,Q401907,1921-05-08,1921-05-16
+++,Yusuf Kemal Tengirşenk,Q6097845,1921-05-16,1922-10-25
+++,İsmet İnönü,Q183297,1922-10-25,1923-10-30
->,İsmet İnönü,Q183297,1922-10-26->1923-10-30,1924-11-21
->,Şükrü Kaya,Q390718,1924-11-22->1924-11-21,1925-03-04
->,Necmettin Sadık Sadak->Necmettin Sadak,Q1973822,1947-09-10,1950-05-22
->,Mehmet Fuat Köprülü->Mehmet Fuad Köprülü,Q604285,1950-05-22,1951-03-09->1956-06-20
->,Hasan Esat Işık,Q6092855,1965-02-23->1965-02-20,1965-10-22->1965-10-27
->,İhsan Sabri Çağlayangil,Q343514,1965-10-27,1971-03-12->1971-03-26
->,Haluk Bayülken->Ümit Haluk Bayülken,Q4075793,1971-12-11,1974-01-25->1974-01-26
->,Turan Güneş,Q6095763,1974-01-25->1974-01-26,1974-11-07->1974-11-17
->,Melih Esenbel,Q6079309,1974-11-13->1974-11-17,1975-03-30->1975-03-31
->,İhsan Sabri Çağlayangil,Q343514,1975-10-31->1975-03-31,1977-06-21
->,İhsan Sabri Çağlayangil->Ahmet Gündüz Ökçün,Q343514->Q6068416,1977-06-21,1978-01-05->1977-07-21
+++,İhsan Sabri Çağlayangil,Q343514,1977-07-21,1978-01-05
+++,Ahmet Gündüz Ökçün,Q6068416,1978-01-05,1979-11-12
->,Mesut Yılmaz->Ahmet Mesut Yılmaz,Q366692,1987-12-22->1987-12-21,1990-02-20->1990-02-21
->,Ali Bozer->Ali Hüsrev Bozer,Q459130,1990-02-22->1990-02-21,1990-10-12
->,Safa Giray->İsmail Safa Giray,Q4138855,1991-06-23,1991-11-21->1991-11-20
->,Hikmet Çetin,Q351674,1991-11-21->1991-11-20,1994-07-27
->,Erdal İnönü,Q1348747,1995-03-27,1995-10-06->1995-10-05
->,Coşkun Kırca->Ali Coşkun Kırca,Q3001933,1995-10-06->1995-10-05,1995-10-31->1995-10-30
->,Deniz Baykal,Q381297,1995-10-31->1995-10-30,1996-03-06
->,Tansu Çiller,Q208377,1996-06-28,1997-06-20->1997-06-30
->,İsmail Cem,Q344153,1997-06-30,1999-04-18->2002-07-12
---,İsmail Cem,Q344153,1999-04-18,2002-07-11
->,Şükrü Sina Gürel,Q390723,2002-07-12,2002-11-19->2002-11-18
->,Yaşar Yakış,Q75063,2002-11-19->2002-11-18,2003-03-14
->,Ali Babacan,Q714518,2007-08-29,2009-05-02->2009-05-01
---,Ahmet Davutoğlu,Q58198,2009-05-02,2011-07-06
->,Ahmet Davutoğlu,Q58198,2011-07-06->2009-05-01,2014-08-29
->,Mevlüt Çavuşoğlu,Q249206,2014-08-29,2015-08-30->2015-08-28
->,Feridun Sinirlioğlu,Q6082854,2015-08-30->2015-08-28,2015-11-24
