item,itemLabel,startDate,endDate,psid
Q1076524,Mustafa Abdülhalik Renda,1930-12-25,1934-02-03,Q1076524-828B38A3-D24E-4FF9-A0CA-0DC2806DE0DC
Q1076524,Mustafa Abdülhalik Renda,1924-01-02,1924-05-21,Q1076524-DF2C3C86-71D0-4D2E-A71A-C412FED55063
Q1076524,Mustafa Abdülhalik Renda,1926-07-13,1927-11-01,Q1076524-E99A7C31-27EE-45AC-9FC7-9F2E1B3FA365
Q1076524,Mustafa Abdülhalik Renda,1924-11-22,1925-03-03,Q1076524-F136CF64-1290-4206-82E6-AE6B0476B941
Q109627433,Nureddin Nebati,2021-12-02,,Q109627433-606D9D3F-B392-4B65-86F2-C3B9922B34FE
Q12810672,Lütfullah Kayalar,1996-03-06,1996-06-28,Q12810672-A4C4CEDF-C30A-43F8-AAD7-F9E6C7DD7C5A
Q1399382,Hasan Polatkan,1950-12-14,1955-12-09,Q1399382-BB407670-7CFE-4357-B424-066A2EA60B86
Q1399382,Hasan Polatkan,1956-12-03,1960-05-27,Q1399382-C0622DB5-7C07-4A54-BC43-3953540BB2F1
Q1400345,Ferit Melen,1962-06-25,1965-02-20,Q1400345-08CA839D-5B42-4C62-9EDF-D861DB5F5A2F
Q1588141,Hasan Saka,1925-03-03,1926-07-13,Q1588141-961BD544-82DA-4F45-AF71-5C076ECD4A78
Q317853,Abdüllatif Şener,1996-06-28,1997-06-30,Q317853-D02527A6-7267-431F-9253-111BB1E13997
Q3346489,Nurullah Esat Sümer,1944-09-13,1946-08-07,Q3346489-B873EAE8-4EA4-4FF5-A75D-B4FC9714DD19
Q344229,Kaya Erdem,1980-09-20,1982-07-14,Q344229-06210F4E-C771-470A-9FFB-3DC35ACD2288
Q344235,İsmet Sezgin,1979-11-12,1980-09-12,Q344235-CBD2AB79-D4A2-457F-A440-9C10575EE957
Q381297,Deniz Baykal,1974-01-26,1974-11-17,Q381297-4A8ED49A-159C-41A4-9032-8D5B21322041
Q381712,Kemal Unakıtan,2002-11-19,2009-05-01,Q381712-918C0F80-9AF9-4AA3-A01E-25B65C47C27F
Q390725,Şükrü Saracoğlu,1927-11-01,1930-12-25,Q390725-3D92C557-9875-448F-AB2C-127DDD8F3925
Q401891,Ahmet Kurtcebe Alptemoçin,1984-10-26,1989-03-30,Q401891-9A33724D-556B-4217-8F78-D9C471DD988D
Q4116400,Adnan Kahveci,1990-03-29,1991-11-20,Q4116400-0EA4089D-FF4E-419D-860F-F32B0EBC0EE0
Q4116403,Mustafa Kemal Kurdaş,1960-12-26,1961-11-20,Q4116403-D93A4679-174B-4B47-A538-B1EA25CEA60E
Q6021452,Bedri Gürsoy (akademisyen),1974-11-17,1975-03-31,Q6021452-5F37AB75-C1B9-434C-977B-CDBBBCE6FAC2
Q6031129,Lütfi Elvan,2020-11-10,2021-12-02,Q6031129-6BC2E2D6-AC09-4B56-AAE6-7956786847BF
Q6031894,Halit Nazmi Keşmir,1946-08-07,1948-03-23,Q6031894-68244035-CBF4-4139-8E2B-B69229A61C5E
Q6032746,Naci Ağbal,2015-11-24,2018-07-10,Q6032746-534959C4-691E-4835-ABFA-D82ABDBFA409
Q6032796,Halil Ayan,1950-05-22,1950-12-14,Q6032796-22CC6F23-6053-44C3-9C8D-481D35568166
Q6047748,Sadık Tekin Müftüoğlu,1973-04-15,1974-01-26,Q6047748-6E605D0C-1163-4EBE-9EA0-3A2AA538A433
Q6047807,Besim Üstünel,1977-06-21,1977-07-21,Q6047807-152EA587-7D20-45C2-B528-AD39A47CDF0A
Q6051816,Vural Arıkan,1983-12-13,1984-10-26,Q6051816-C489067C-02DD-42E5-9F08-49AA3CDE882F
Q6052158,Berat Albayrak,2018-07-10,2020-11-09,Q6052158-a2783de7-43bf-567d-3dfa-d5b0f615a333
Q6054589,İsmail Rüştü Aksal,1949-01-16,1950-05-22,Q6054589-8D14550D-ACA1-4585-9D18-B1A80F0BDEB2
Q6057252,İsmet Attila,1993-06-25,1996-03-06,Q6057252-7D0B5E44-9D5A-462C-98E1-03E48D942BAB
Q6062007,Hasan Şevket Adalan,1948-03-27,1949-01-16,Q6062007-FA545470-7CBE-45AC-9259-886AA0DAF03C
Q6062242,Sait Naci Ergin,1971-03-26,1972-05-22,Q6062242-66A24180-89D4-427B-8CAF-31E1E1316E8B
Q6065904,Fuat Ağralı,1934-02-03,1944-09-13,Q6065904-0A8B195F-B5F1-4C85-82E0-D1887BFFB6E9
Q6067636,İhsan Gürsan,1965-02-20,1966-11-02,Q6067636-C92A1FFA-78C3-48C4-BC4B-C7B3AF8335AD
Q6069338,Ali Mesut Erez,1969-11-03,1971-03-26,Q6069338-25E0010A-6876-4398-8B22-BED1114D6808
Q6069658,Nedim Ökmen,1955-12-09,1956-08-24,Q6069658-2B24FAC9-0FEB-4518-8994-C05C62FD0A14
Q6072402,Ekrem Pakdemirli,1989-03-30,1990-03-29,Q6072402-D525CD15-2C19-4125-BF44-8A246CA43F8B
Q6075631,Yılmaz Ergenekon,1975-03-31,1977-06-21,Q6075631-843B88E0-6DE6-4D17-B8C3-66FD16BBBF97
Q6080974,Hasan Fehmi Ataç,1923-10-30,1924-01-02,Q6080974-BAE8E405-6DAC-4BDD-BECF-72943AB873AD
Q6082493,Ziya Müezzinoğlu,1972-05-22,1973-04-15,Q6082493-3163099E-F060-45D1-8DE9-29E51380D1A2
Q6082493,Ziya Müezzinoğlu,1978-01-05,1979-11-12,Q6082493-91DA9606-05B9-4F58-93A9-449BE757C12F
Q6085014,Sümer Oral,1991-11-20,1993-06-25,Q6085014-390E459A-F760-418B-BC13-3E735EDA7BE1
Q6085014,Sümer Oral,1999-05-28,2002-11-19,Q6085014-BC71EAD1-07DE-4548-9E03-CF2800E04EE5
Q6085633,Adnan Başer Kafaoğlu,1982-07-14,1983-12-13,Q6085633-AE897A11-6A6B-464F-A7EE-95C4F14B501B
Q6087718,Ekrem Alican,1960-05-30,1960-12-26,Q6087718-BDA292FC-E277-443E-9ACF-B609910D7A5C
Q6088252,Cihat Bilgehan,1977-07-21,1978-01-05,Q6088252-47B7B771-B2CA-4352-955F-8E4462F629FC
Q6088252,Cihat Bilgehan,1966-11-14,1969-11-03,Q6088252-BE1497A5-F3EB-468F-B818-68DB373860AD
Q6089344,Zekeriya Temizel,1997-06-30,1999-05-28,Q6089344-CD2F8013-B88D-4A76-8E47-994C7E202298
Q728586,Recep Peker,1924-05-21,1924-11-22,Q728586-3D4137E7-430D-46AE-B020-4DFE36CD8ACF
Q945364,Mehmet Şimşek,2009-05-01,2015-11-24,Q945364-00d2b0f1-4c72-e4f3-541c-2577cdcfc0da
