@@,itemlabel,item,startdate,enddate
+++,Rıza Nur,Q1747863,1920-05-04,1920-12-13
+++,Hamdullah Suphi Tanrıöver,Q6673145,1920-12-14,1921-11-20
+++,Mehmet Vehbi Bolak,Q6073893,1921-11-20,1922-11-05
+++,İsmail Safa Özler,Q6060508,1922-11-05,1923-10-27
+++,İsmail Safa Özler,Q6060508,1923-10-30,1924-03-06
+++,Hüseyin Vasıf Çınar,Q1601376,1924-03-06,1924-11-22
+++,Şükrü Saraçoğlu,Q390725,1924-11-22,1925-03-03
+++,Hamdullah Suphi Tanrıöver,Q6673145,1925-03-03,1925-12-19
+++,Mustafa Necati Uğural,Q19668322,1925-12-20,1929-01-01
+++,İsmet İnönü,Q183297,1929-01-01,1929-01-08
+++,İsmet İnönü,Q183297,1929-01-09,1929-02-27
+++,Hüseyin Vasıf Çınar,Q1601376,1929-02-28,1929-04-07
+++,Recep Peker,Q728586,1929-04-07,1929-04-10
+++,Cemal Hüsnü Taray,Q6061956,1929-04-10,1930-09-15
+++,Refik Saydam,Q983535,1930-09-17,1930-09-27
+++,Esat Sagay,Q6071106,1930-09-27,1932-09-18
+++,Reşit Galip,Q6077211,1932-09-19,1933-08-13
+++,Refik Saydam,Q983535,1933-08-13,1933-10-26
+++,Yusuf Hikmet Bayur,Q4080323,1933-10-27,1934-07-08
+++,Zeynel Abidin Özmen,Q6500520,1934-07-09,1935-06-09
+++,Saffet Arıkan,Q6084264,1935-06-09,1938-12-28
+++,Hasan Âli Yücel,Q439558,1938-12-28,1946-08-05
+++,Reşat Şemsettin Sirer,Q6035270,1946-08-05,1948-06-09
+++,Hasan Tahsin Banguoğlu,Q6669273,1948-06-10,1950-05-22
->,Hüseyin Avni Başman,Q6032060,1950-05-22,1950-08-03->1950-08-02
+++,Nuri Özsan,Q6054437,1950-08-03,1950-08-10
->,Ahmet Tevfik İleri,Q6095635,1950-08-11,1951-03-09->1953-04-05
+++,Rıfkı Salim Burçak,Q6086745,1953-04-09,1954-05-17
+++,Hüseyin Celal Yardımcı,Q6081672,1954-05-17,1955-12-09
+++,Ahmet Özel,Q6059993,1955-12-09,1957-04-13
+++,Ahmet Tevfik İleri,Q6095635,1957-04-13,1957-11-25
+++,Hüseyin Celal Yardımcı,Q6081672,1957-11-26,1959-05-22
+++,Ahmet Tevfik İleri,Q6095635,1959-05-22,1959-12-08
+++,Mehmet Atıf Benderlioğlu,Q6586265,1959-12-09,1960-05-27
+++,Fehmi Yavuz,Q6036103,1960-05-30,1960-08-27
+++,Fehmi Yavuz,Q6036103,1960-08-27,1960-09-08
+++,Bedrettin Tuncel,Q6043175,1960-09-08,1961-01-05
+++,Turhan Feyzioğlu,Q6100528,1961-01-05,1961-02-07
+++,Ahmet Tahtakılıç,Q6068328,1961-02-07,1961-03-02
+++,Ahmet Tahtakılıç,Q6068328,1961-03-03,1961-10-25
+++,Ahmet Tahtakılıç,Q6068328,1961-10-25,1961-11-20
+++,Mehmet Hilmi İncesulu,Q6071811,1961-11-20,1962-06-25
+++,Şevket Raşit Hatipoğlu,Q6100673,1962-06-25,1963-06-08
+++,İbrahim Öktem,Q6052956,1963-06-11,1965-02-20
+++,Nevzat Cihat Bilgehan,Q6088252,1965-02-20,1965-10-27
+++,Orhan Dengiz,Q6051986,1965-10-27,1967-04-01
+++,Mehmet İlhami Ertem,Q6079346,1967-04-01,1969-11-03
+++,Orhan Oğuz,Q6060056,1969-11-03,1971-03-26
+++,Şinasi Orel,Q6034204,1971-03-26,1971-12-13
+++,İsmail Hakkı Arar,,1971-12-13,1972-05-22
+++,Sabahattin Özbek,Q6090114,1972-05-22,1973-04-15
+++,Orhan Dengiz,Q6051986,1973-04-15,1974-01-26
+++,Mustafa Üstündağ,Q6050397,1974-01-26,1974-11-17
+++,Safa Reisoğlu,Q6043264,1974-11-17,1975-03-31
+++,Ali Naili Erdem,Q6080252,1975-03-31,1977-06-21
+++,Mustafa Üstündağ,Q6050397,1977-06-21,1977-07-21
+++,Nahit Menteşe,Q6091669,1977-07-21,1978-01-05
+++,Mustafa Necdet Uğur,Q6086069,1978-01-05,1979-11-12
+++,Orhan Cemal Fersoy,Q6070777,1979-11-12,1980-09-12
+++,Hasan Sağlam,Q6041631,1980-09-21,1983-12-13
+++,Vehbi Dinçerler,Q6061321,1983-12-13,1985-09-13
+++,Metin Emiroğlu,Q6065848,1985-09-13,1987-12-21
+++,Hasan Celal Güzel,Q6669427,1987-12-21,1989-03-30
+++,Avni Akyol,Q6088500,1989-03-30,1991-11-20
->,Köksal Toptan,Q725762,1991-06-23->1991-11-20,1993-06-25
+++,Nahit Menteşe,Q6091669,1993-06-25,1993-10-24
+++,Nevzat Ayaz,Q6079998,1993-10-24,1995-10-05
+++,Turhan Tayan,Q6070225,1995-10-05,1996-06-28
+++,Mehmet Sağlam,Q6081631,1996-06-28,1997-06-30
+++,Hikmet Uluğbay,Q6073261,1997-06-30,1999-01-11
+++,Metin Bostancıoğlu,Q6042930,1999-01-11,2002-07-10
+++,Necdet Tekin,Q6044404,2002-07-10,2002-11-18
+++,Erkan Mumcu,Q581386,2002-11-18,2003-03-14
+++,Hüseyin Çelik,Q1534762,2003-03-14,2009-05-01
+++,Nimet Çubukçu,Q466180,2009-05-01,2011-07-06
+++,İsmet Yılmaz,Q8080224,2016-05-24,2018-07-10
