wanted,position,positionid,from,start,end
Q55456168,Minister of Family and Social Services,Q106587058,Q106577630,2021-04-21,
Q55456168,Minister of Labour and Social Security,Q106587107,Q6102989,2021-04-21,
Q1989879,Minister of Trade,Q106541814,Q55456148,2018-07-10,2021-04-21
Q21541504,Minister of Trade,Q106541814,Q55456148,2018-07-10,2021-04-21
Q24230049,"Minister of Family, Labour, and Social Services",Q106532581,Q55456168,2018-07-10,2021-04-21
Q24263657,Minister of Industry and Technology,Q106541631,Q55455996,2018-07-10,
Q31188554,"Minister of Family, Labour, and Social Services",Q106532581,Q55456168,2018-07-10,2021-04-21
Q6031129,Minister of Industry and Technology,Q106541631,Q55455996,2018-07-10,
Q6064478,Minister of Agriculture and Forestry,Q106533896,Q55439729,2018-07-10,2022-03-04
Q6098459,Minister of Labour and Social Security,Q106587107,Q3739370,2016-08-31,2017-07-19
Q20471206,Minister of Culture and Tourism,Q23196601,Q12811068,2016-05-24,2017-07-19
Q2947184,Minister of Development,Q108272582,Q6031129,2016-05-24,2018-07-10
Q20983466,Deputy Speaker of the Grand National Assembly,Q6020671,Q458740,2015-11-23,2018-02-11
Q8080224,Speaker of the Grand National Assembly,Q20473788,Q6043452,2015-11-22,2018-07-07
Q19269277,Minister of the Family and Social Policies,Q106561136,Q524109,2011-07-06,2013-12-25
Q6930701,Governor of İstanbul,Q6572133,Q935430,2010-05-31,2014-09-25
Q381715,Minister of Labour and Social Security,Q106587107,Q8078952,2009-05-01,2011-07-06
Q1020672,Speaker of the Grand National Assembly,Q20473788,Q725762,2007-08-09,2009-08-09
Q1206951,Deputy Prime Minister,Q5261074,Q317853,2002-11-18,2007-08-29
Q390723,Deputy Prime Minister,Q5261074,Q317853,2002-11-18,2007-08-29
