wanted,position,positionid,from,start,end
Q106577630,"Minister of Family, Labour, and Social Services",Q106532581,Q55456168,2018-07-10,2021-04-21
Q6102989,"Minister of Family, Labour, and Social Services",Q106532581,Q55456168,2018-07-10,2021-04-21
Q31188554,Minister of Labour and Social Security,Q106587107,Q3739370,2016-08-31,2017-07-19
Q55456168,Minister of the Family and Social Policies,Q106561136,Q24230049,2016-05-24,2018-07-10
Q20472571,Deputy Speaker of the Grand National Assembly,Q6020671,Q458740,2015-11-23,2018-02-11
Q20090683,Minister of the Environment and Urbanisation,Q106532539,Q6059473,2013-12-25,2015-11-17
Q12811068,Minister of National Defence,Q106532199,Q8080224,2011-07-06,2013-01-24
Q8080224,Speaker of the Grand National Assembly,Q20473788,Q202971,2011-07-04,2015-06-23
Q21765378,Governor of Düzce,Q20949456,Q6027159,2010-06-07,2012-08-17
Q381715,Minister of Labour and Social Security,Q106587107,Q8078952,2009-05-01,2011-07-06
Q854641,Deputy Prime Minister,Q5261074,Q202971,2007-08-28,2011-06-28
Q1972728,Deputy Prime Minister,Q5261074,Q317853,2002-11-18,2007-08-29
Q371432,Deputy Prime Minister,Q5261074,Q317853,2002-11-18,2007-08-29
Q297528,Speaker of the Grand National Assembly,Q20473788,Q558287,1999-05-20,2000-09-30
