item,itemLabel,position,positionLabel,start,psid
Q106577630,Derya Yanık,Q106587058,Minister of Family and Social Services,2021-04-21,Q106577630-7b6cdb57-4cd1-dd21-f7f1-bef9d4de601f
Q109627433,Nureddin Nebati,Q106532278,Minister of Treasury and Finance,2021-12-02,Q109627433-606D9D3F-B392-4B65-86F2-C3B9922B34FE
Q17045790,Hulusi Akar,Q106532199,Minister of National Defence,2018-07-10,Q17045790-7A554213-36A4-4A1F-83FE-0E2290C324F2
Q19611864,Mahmut Özer,Q106533996,Minister of National Education,2021-08-06,Q19611864-8613C45B-28A6-448D-AC85-4BBEDFC66EBF
Q19612675,Adil Karaismailoğlu,Q87662887,minister of Transport and Infrastructure,2020-03-28,Q19612675-9e43554b-47a4-aedf-cd80-bbd363c42a66
Q249206,Mevlüt Çavuşoğlu,Q20988486,"Minister of Foreign Affairs, Turkey",2015-11-24,Q249206-45FAFECE-C232-482E-B1D2-DDA0D8378631
Q25477012,Mehmet Muş,Q106541814,Minister of Trade,2021-04-21,Q25477012-807ed5fd-4550-36a3-4344-05ab98e2eb6c
Q4881622,Bekir Bozdağ,Q61895843,Minister of Justice,2022-01-29,Q4881622-713DB381-BC50-48F6-8A79-A9B5CF350A54
Q55437281,Fuat Oktay,Q52137988,Vice President of Turkey,2018-07-10,Q55437281-e96a0aca-4a5f-c3dc-884c-e8ac8955bd41
Q55439659,Fahrettin Koca,Q29645718,Minister of Health of Turkey,2018-07-10,Q55439659-0e463048-4d0c-a8a4-5a29-62f073ec94bb
Q55455996,Mustafa Varank,Q106541631,Minister of Industry and Technology,2018-07-10,Q55455996-3948290b-4dbc-9651-05b3-e4b10e8910d8
Q55456118,Fatih Dönmez,Q106533226,Minister of Energy and Natural Resources,2018-07-10,Q55456118-7D61A94C-D697-4C72-900B-2B607273EFCE
Q55526162,Mehmet Nuri Ersoy,Q23196601,minister of Culture and Tourism,2018-07-10,Q55526162-F9B728CC-9168-4A42-B157-E141DC3525BA
Q56125668,Murat Kurum,Q106532539,"Minister of the Environment, Urbanisation, and Climate Change",2018-07-10,Q56125668-25698f34-49be-ecb2-0e47-69a07434f060
Q56127416,Mehmet Kasapoğlu,Q106533834,Minister of Youth and Sports,2018-07-10,Q56127416-3bdbd7b8-4c60-02ad-9444-97102222c38e
Q6042101,Vahit Kirişçi,Q106533896,Minister of Agriculture and Forestry,2022-03-04,Q6042101-03d78da4-460d-7914-bbe3-831f253b18d1
Q6098459,Süleyman Soylu,Q106508952,Interior Minister of Turkey,2018-07-10,Q6098459-11E0A91B-06C3-4AD6-915D-097CF7EEC28F
Q6102989,Vedat Bilgin,Q106587107,Minister of Labour and Social Security,2021-04-21,Q6102989-85972705-4db8-87b1-4872-4a07d0f9447a
Q39259,Rejep Tayyip Erdoghan,Q1922067,President of Turkey,2014-08-28,Q39259-43fe35d2-4a37-1c47-8b07-d89fa5d99c90
