@@,itemlabel,item,startdate,enddate
+++,İsmet Paşa,Q183297,1920-05-03,1921-11-10
+++,Fevzi Çakmak,Q328331,1921-04-03,1944-01-12
+++,Kâzım Orbay,Q278649,1944-01-12,1946-07-30
+++,Salih Omurtak,Q554475,1946-08-01,1949-06-08
+++,Nafiz Gürman,Q4666305,1949-06-10,1950-06-06
+++,Nuri Yamut,Q2005329,1950-06-05,1954-04-10
+++,Nurettin Baransel,Q1521803,1954-05-28,1955-08-25
+++,Hakkı Tunaboylu,Q685276,1955-08-25,1957-10-10
+++,Feyzi Mengüç,Q1410301,1957-10-11,1958-08-22
+++,Ragıp Gümüşpala,Q556129,1960-06-03,1960-08-04
+++,Cevdet Sunay,Q158500,1960-08-04,1966-03-16
+++,Cemal Tural,Q1053288,1966-03-16,1969-03-16
+++,Memduh Tağmaç,Q1517748,1969-03-16,1972-08-29
+++,Faruk Gürler,Q1397197,1972-08-29,1973-03-06
+++,Semih Sancar,Q2269123,1973-03-06,1978-03-07
+++,Kenan Evren,Q216983,1978-03-07,1983-07-01
+++,Nurettin Ersin,Q2005307,1983-07-01,1983-12-06
+++,Necdet Üruğ,Q1973622,1983-12-06,1987-07-02
+++,Necip Torumtay,Q206281,1987-07-02,1990-12-03
+++,Doğan Güreş,Q1231153,1990-12-06,1994-08-30
+++,İsmail Hakkı Karadayı,Q344168,1994-08-30,1998-08-30
+++,Hüseyin Kıvrıkoğlu,Q554479,1998-08-30,2002-08-28
->,Hilmi Özkök,Q742987,2002-08-28,2006-08-30->2006-08-28
+++,Yaşar Büyükanıt,Q961343,2006-08-28,2008-08-28
->,İlker Başbuğ,Q338148,2008-08-30->2008-08-28,2010-08-27
+++,Işık Koşaner,Q970840,2010-08-27,2011-07-29
+++,Necdet Özel,Q1372923,2011-07-29,2015-08-18
+++,Hulusi Akar,Q17045790,2015-08-18,2018-07-09
+++,Ümit Dündar,Q20476822,2016-07-16,2016-07-19
->,Yaşar Güler,Q19636157,2018-07-10->2018-07-09,
