@@,itemlabel,item,startdate,enddate
+++,Hakkı Behiç Bayiç,Q6073529,1920-05-03,1920-07-17
+++,Ahmet Ferit Tek,Q401829,1920-07-17,1921-05-19
+++,Hasan Saka,Q1588141,1921-05-19,1922-04-22
+++,Hasan Fehmi Ataç,Q6080974,1922-04-22,1923-10-27
+++,Hasan Fehmi Ataç,Q6080974,1923-10-30,1924-01-02
+++,Abdülhalik Renda,Q1076524,1924-01-02,1924-05-21
+++,Recep Peker,Q728586,1924-05-21,1924-11-22
+++,Abdülhalik Renda,Q1076524,1924-11-22,1925-03-03
+++,Hasan Saka,Q1588141,1925-03-03,1926-07-13
+++,Abdülhalik Renda,Q1076524,1926-07-13,1927-11-01
+++,Şükrü Saraçoğlu,Q390725,1927-11-01,1930-12-25
+++,Abdülhalik Renda,Q1076524,1930-12-25,1934-02-03
+++,Fuat Ağralı,Q6065904,1934-02-03,1944-09-13
+++,Nurullah Esat Sümer,Q3346489,1944-09-13,1946-08-07
+++,Halit Nazmi Keşmir,Q6031894,1946-08-07,1948-03-23
+++,Hasan Şevket Adalan,Q6062007,1948-03-27,1949-01-16
+++,İsmail Rüştü Aksal,Q6054589,1949-01-16,1950-05-22
+++,Halil Ayan,Q6032796,1950-05-22,1950-12-14
+++,Hasan Polatkan,Q1399382,1950-12-14,1955-12-09
+++,Nedim Ökmen,Q6069658,1955-12-09,1956-08-24
+++,Hasan Polatkan,Q1399382,1956-12-03,1960-05-27
+++,Ekrem Alican,Q6087718,1960-05-30,1960-12-26
+++,Mustafa Kemal Kurdaş,Q4116403,1960-12-26,1961-11-20
+++,Osman Şefik İnan,,1961-11-20,1962-06-25
+++,Ferit Melen,Q1400345,1962-06-25,1965-02-20
+++,İhsan Gürsan,Q6067636,1965-02-20,1966-11-02
+++,Nevzat Cihat Bilgehan,Q6088252,1966-11-14,1969-11-03
+++,Ali Mesut Erez,Q6069338,1969-11-03,1971-03-26
+++,Sait Naci Ergin,Q6062242,1971-03-26,1972-05-22
+++,Ziya Müezzinoğlu,Q6082493,1972-05-22,1973-04-15
+++,Sadık Tekin Müftüoğlu,Q6047748,1973-04-15,1974-01-26
+++,Deniz Baykal,Q381297,1974-01-26,1974-11-17
+++,Bedri Gürsoy,Q6021452,1974-11-17,1975-03-31
+++,Yılmaz Ergenekon,Q6075631,1975-03-31,1977-06-21
+++,Besim Üstünel,Q6047807,1977-06-21,1977-07-21
+++,Nevzat Cihat Bilgehan,Q6088252,1977-07-21,1978-01-05
+++,Ziya Müezzinoğlu,Q6082493,1978-01-05,1979-11-12
+++,İsmet Sezgin,Q344235,1979-11-12,1980-09-12
+++,Kaya Erdem,Q344229,1980-09-20,1982-07-14
+++,Adnan Başer Kafaoğlu,Q6085633,1982-07-14,1983-12-13
+++,Vural Arıkan,Q6051816,1983-12-13,1984-10-26
+++,Ahmet Kurtcebe Alptemoçin,Q401891,1984-10-26,1989-03-30
+++,Ekrem Pakdemirli,Q6072402,1989-03-30,1990-03-29
+++,Adnan Kahveci,Q4116400,1990-03-29,1991-11-20
+++,Sümer Oral,Q6085014,1991-11-20,1993-06-25
+++,İsmet Attila,Q6057252,1993-06-25,1996-03-06
+++,Lütfullah Kayalar,Q12810672,1996-03-06,1996-06-28
+++,Abdüllatif Şener,Q317853,1996-06-28,1997-06-30
+++,Zekeriya Temizel,Q6089344,1997-06-30,1999-05-28
+++,Sümer Oral,Q6085014,1999-05-28,2002-11-19
+++,Kemal Unakıtan,Q381712,2002-11-19,2009-05-01
+++,Naci Ağbal,Q6032746,2015-11-24,2018-07-10
