item,itemLabel,startDate,endDate
Q6085330,Sadettin Tantan,1999-05-28,2001-06-05
Q6075296,Rüştü Kazım Yücelen,2001-06-05,2002-08-05
Q6049544,Muzaffer Ecemiş,2002-08-05,2002-11-18
Q318055,Abdülkadir Aksu,2002-11-18,2007-05-08
Q7107079,Osman Güneş,2007-05-08,2007-08-29
Q854641,Beşir Atalay,2007-08-29,2011-03-08
Q7107079,Osman Güneş,2011-03-08,2011-07-06
Q1941436,İdris Naim Şahin,2011-07-06,2013-01-24
Q6930701,Muammer Güler,2013-01-24,2013-12-25
Q6034078,Efkan Ala,2013-12-25,2015-03-06
Q6036614,Sebahattin Öztürk,2015-03-07,2015-08-28
Q6021021,Selami Altınok,2015-08-28,2015-11-24
Q6034078,Efkan Ala,2015-11-24,2016-08-31
Q6098459,Süleyman Soylu,2016-08-31,
