@@,itemlabel,item,startdate,enddate
+++,Cami Baykut,Q6089813,1920-05-03,1920-07-13
+++,Hakkı Behiç Bayiç,Q6073529,1920-07-17,1920-09-04
+++,Nazım Resmor,Q6050304,1920-09-04,1920-09-06
+++,Refet Bele,Q1422996,1920-09-06,1921-03-18
+++,Ata Atalay,Q6048621,1921-04-21,1921-06-30
+++,Refet Bele,Q1422996,1921-06-30,1921-10-10
+++,Fethi Okyar,Q366292,1921-10-10,1922-07-09
+++,İsmail Safa Özler,Q6060508,1922-07-12,1922-11-05
+++,Fethi Okyar,Q366292,1922-11-05,1923-10-27
+++,Ahmet Ferit Tek,Q401829,1923-10-30,1924-11-22
+++,Recep Peker,Q728586,1924-11-22,1925-01-05
+++,Cemil Uybadın,Q6075456,1925-01-05,1927-11-01
+++,Şükrü Kaya,Q390718,1927-11-01,1938-11-11
+++,Refik Saydam,Q983535,1938-11-11,1939-01-25
+++,Faik Öztrak,Q6079583,1939-01-25,1942-05-06
+++,Ahmet Fikri Tüzer,Q401835,1942-05-06,1942-08-16
+++,Recep Peker,Q728586,1942-08-17,1943-05-20
+++,Hilmi Uran,Q6080286,1943-05-20,1946-08-07
+++,Şükrü Sökmen Süer,Q6441295,1946-08-07,1947-09-05
+++,Münir Hüsrev Göle,Q6052883,1947-09-05,1949-01-16
+++,Mehmet Emin Erişirgil,Q6090184,1949-01-16,1950-05-22
+++,Halil İbrahim Özyörük,,1951-03-09,1951-10-20
+++,Fevzi Lütfi Karaosmanoğlu,Q6083545,1951-12-02,1952-04-07
+++,İbrahim Ethem Menderes,Q1371176,1952-08-01,1954-05-17
+++,Namık Gedik,Q6071708,1954-05-17,1955-09-10
+++,İbrahim Ethem Menderes,Q1371176,1955-09-30,1956-10-12
+++,Namık Gedik,Q6071708,1956-10-12,1960-05-27
+++,Muharrem İhsan Kızıloğlu,Q6040874,1960-05-30,1961-03-02
+++,Ali Nasır Zeytinoğlu,Q6031617,1961-03-02,1961-11-20
+++,Ahmet Topaloğlu,Q6087997,1961-11-20,1962-06-25
+++,Kemal Sahir Kurutluoğlu,Q12810331,1962-06-25,1962-10-10
+++,Hıfzı Oğuz Bekata,Q6056306,1962-10-18,1963-10-08
+++,İlyas Seçkin,Q6044218,1963-10-22,1963-12-25
+++,Orhan Öztrak,Q6079119,1963-12-25,1965-02-20
+++,İsmail Hakkı Akdoğan,Q6049519,1965-02-20,1965-07-31
+++,İzzet Gener,Q6033835,1965-07-31,1965-10-27
+++,Mehmet Faruk Sükan,Q6095098,1965-10-27,1969-08-01
+++,Salih Ragıp Üner,Q6055764,1969-08-01,1969-11-03
+++,Haldun Menteşeoğlu,Q6042537,1969-11-03,1971-03-26
+++,Hamdi Ömeroğlu,Q12809866,1971-03-26,1971-12-11
+++,Ferit Kubat,Q6034852,1971-12-11,1973-04-15
+++,Mukadder Öztekin,Q6051630,1973-04-15,1974-01-26
