item,itemLabel,startDate,endDate
Q3676683,Ali Çetinkaya,1939-04-03,1940-11-20
Q6081520,Cevdet Kerim İncedayı,1940-11-20,1941-11-12
Q6054855,Mehmet Fahri Engin,1941-11-12,1943-03-09
Q983601,Ali Fuat Cebesoy,1943-03-09,1946-08-07
Q6045825,Şükrü Koçak,1946-08-07,1948-06-10
Q6374938,Kasım Gülek,1948-06-10,1949-01-16
Q6097255,Kemal Satır,1949-01-16,1950-05-22
Q6095635,Ahmet Tevfik İleri,1950-05-22,1950-08-11
Q6071150,Seyfi Kurtbek,1950-08-11,1952-11-10
Q6090123,Yümnü Üresin,1952-11-10,1954-05-17
Q6047948,Muammer Çavuşoğlu,1954-05-17,1955-12-09
Q6054184,Arif Demirer,1955-12-09,1957-11-25
Q6080461,Fevzi Uçaner,1957-11-25,1958-09-18
Q6044927,Muzaffer Kurbanoğlu,1958-11-01,1959-12-09
Q6051627,Şemi Ergin,1959-12-09,1960-05-27
Q6065494,Sıtkı Ulay,1960-05-30,1961-01-05
Q6030419,Mehmet Orhan Mersinli,1961-01-05,1961-11-20
Q6035619,Mustafa Cahit Akyar,1961-11-20,1962-06-25
Q6041404,Rıfat Öçten,1962-06-25,1963-06-10
Q6035569,İhsan Şeref Dura,1963-06-13,1963-12-25
Q12808259,Abdurrahman Ferit Alpiskender,1963-12-25,1964-12-15
Q6037688,Mahmut Vural,1964-12-15,1965-02-20
Q6030818,Mithat San,1965-02-20,1965-07-31
Q6054410,Kazım Yurdakul,1965-07-31,1965-10-27
Q6061032,Seyfi Öztürk,1965-10-27,1967-04-03
Q6069307,Mehmet Saadettin Bilgiç,1967-04-03,1969-08-01
Q6065950,Mehmet İzmen,1969-08-01,1969-11-03
Q6091669,Nahit Menteşe,1969-11-03,1970-12-14
Q6034965,Mehmet Orhan Tuğrul,1970-12-14,1971-03-26
Q6022769,Haluk Arık,1971-03-26,1971-09-29
Q6039057,Selahattin Babüroğlu,1971-10-13,1971-10-27
Q1025777,Cahit Karakaş,1971-10-27,1971-12-11
Q6040442,Rıfkı Danışman,1971-12-11,1973-04-15
Q6090114,Ahmet Sabahattin Özbek,1973-04-15,1974-01-26
Q6054971,Hasan Ferda Güley,1974-01-26,1974-11-17
Q6090114,Ahmet Sabahattin Özbek,1974-11-17,1975-03-31
Q6091669,Nahit Menteşe,1975-03-31,1977-04-11
Q6025885,İbrahim Aysoy,1977-04-11,1977-06-21
Q1711187,Erol Çevikçe,1977-06-21,1977-07-21
Q6075631,Yılmaz Ergenekon,1977-07-21,1978-01-05
Q6037483,Güneş Öngüt,1978-01-05,1979-11-12
Q6053263,Hüseyin Özalp,1979-11-12,1980-09-12
Q6036416,Necmi Özgür,1980-09-20,1983-03-02
Q12810976,Mustafa Aydın Aysan,1983-03-02,1983-12-13
Q6083107,Veysel Atasoy,1983-12-13,1987-09-16
Q6051734,İhsan Pekel,1987-09-16,1987-12-21
Q6072402,Ekrem Pakdemirli,1987-12-21,1989-03-30
Q6040114,Cengiz Tuncer,1989-03-30,1991-06-23
Q104862583,İbrahim Özdemir,1991-06-23,1991-08-29
Q6022110,Sabahattin Yalınpala,1991-08-29,1991-11-20
Q6056559,Yaşar Topçu,1991-11-20,1993-06-25
Q6037300,Mehmet Köstepen,1993-06-25,1995-04-12
Q6062344,Ali Şevki Erek,1995-05-29,1995-10-31
Q6057841,Oğuz Tezmen,1995-10-31,1996-03-06
Q6064984,Ömer Barutçu,1996-03-06,1997-06-30
Q4561309,Necdet Menzir,1997-06-30,1998-08-04
Q777109,Arif Ahmet Denizolgun,1998-08-04,1999-01-11
Q6048779,Hasan Basri Aktan,1999-01-11,1999-05-28
Q6039247,Enis Öksüz,1999-05-28,2001-07-17
Q6582991,Oktay Vural,2001-07-30,2002-08-05
Q6070178,Naci Kınacıoğlu,2002-08-05,2002-11-18
Q863496,Binali Yıldırım,2002-11-18,2007-05-08
Q8080224,İsmet Yılmaz,2007-05-08,2007-08-29
Q863496,Binali Yıldırım,2007-08-29,2011-03-08
Q6043378,Habip Soluk,2011-03-08,2011-07-06
Q863496,Binali Yıldırım,2011-07-06,2013-12-25
Q6031129,Lütfi Elvan,2013-12-25,2015-03-06
Q19957768,Feridun Bilgin,2015-03-06,2015-11-24
Q863496,Binali Yıldırım,2015-11-24,2016-05-24
Q12808316,Ahmet Arslan,2016-05-24,2018-07-10
Q21526592,Mehmet Cahit Turhan,2018-07-10,2020-03-28
Q19612675,Adil Karaismailoğlu,2020-03-28,
