@@,itemlabel,item,startdate,enddate
+++,Ali Çetinkaya,Q3676683,1939-04-03,1940-11-20
+++,Cevdet Kerim İncedayı,Q6081520,1940-11-20,1941-11-12
+++,Mehmet Fahri Engin,Q6054855,1941-11-12,1943-03-09
+++,Ali Fuat Cebesoy,Q983601,1943-03-09,1946-08-07
+++,Şükrü Koçak,Q6045825,1946-08-07,1948-06-10
+++,Kasım Gülek,Q6374938,1948-06-10,1949-01-16
+++,Kemal Satır,Q6097255,1949-01-16,1950-05-22
+++,Ahmet Tevfik İleri,Q6095635,1950-05-22,1950-08-11
+++,Seyfi Kurtbek,Q6071150,1950-08-11,1952-11-10
+++,Yümnü Üresin,Q6090123,1952-11-10,1954-05-17
+++,Muammer Çavuşoğlu,Q6047948,1954-05-17,1955-12-09
+++,Arif Demirer,Q6054184,1955-12-09,1957-11-25
+++,Fevzi Uçaner,Q6080461,1957-11-25,1958-09-18
+++,Muzaffer Kurbanoğlu,Q6044927,1958-11-01,1959-12-09
+++,Şemi Ergin,Q6051627,1959-12-09,1960-05-27
+++,Sıtkı Ulay,Q6065494,1960-05-30,1961-01-05
+++,Mehmet Orhan Mersinli,Q6030419,1961-01-05,1961-11-20
+++,Mustafa Cahit Akyar,Q6035619,1961-11-20,1962-06-25
+++,Rıfat Öçten,Q6041404,1962-06-25,1963-06-10
+++,İhsan Şeref Dura,Q6035569,1963-06-13,1963-12-25
+++,Abdurrahman Ferit Alpiskender,Q12808259,1963-12-25,1964-12-15
+++,Mahmut Vural,Q6037688,1964-12-15,1965-02-20
+++,Mithat San,Q6030818,1965-02-20,1965-07-31
+++,Kazım Yurdakul,Q6054410,1965-07-31,1965-10-27
+++,Seyfi Öztürk,Q6061032,1965-10-27,1967-04-03
+++,Mehmet Saadettin Bilgiç,Q6069307,1967-04-03,1969-08-01
+++,Mehmet İzmen,Q6065950,1969-08-01,1969-11-03
+++,Nahit Menteşe,Q6091669,1969-11-03,1970-12-14
+++,Mehmet Orhan Tuğrul,Q6034965,1970-12-14,1971-03-26
+++,Haluk Arık,Q6022769,1971-03-26,1971-09-29
+++,Selahattin Babüroğlu,Q6039057,1971-10-13,1971-10-27
+++,Cahit Karakaş,Q1025777,1971-10-27,1971-12-11
+++,Rıfkı Danışman,Q6040442,1971-12-11,1973-04-15
+++,Ahmet Sabahattin Özbek,Q6090114,1973-04-15,1974-01-26
+++,Hasan Ferda Güley,Q6054971,1974-01-26,1974-11-17
+++,Ahmet Sabahattin Özbek,Q6090114,1974-11-17,1975-03-31
+++,Nahit Menteşe,Q6091669,1975-03-31,1977-04-11
+++,İbrahim Aysoy,Q6025885,1977-04-11,1977-06-21
+++,Erol Çevikçe,Q1711187,1977-06-21,1977-07-21
+++,Yılmaz Ergenekon,Q6075631,1977-07-21,1978-01-05
+++,Güneş Öngüt,Q6037483,1978-01-05,1979-11-12
+++,Hüseyin Özalp,Q6053263,1979-11-12,1980-09-12
+++,Necmi Özgür,Q6036416,1980-09-20,1983-03-02
+++,Mustafa Aydın Aysan,Q12810976,1983-03-02,1983-12-13
+++,Veysel Atasoy,Q6083107,1983-12-13,1987-09-16
+++,İhsan Pekel,Q6051734,1987-09-16,1987-12-21
+++,Ekrem Pakdemirli,Q6072402,1987-12-21,1989-03-30
+++,Cengiz Tuncer,Q6040114,1989-03-30,1991-06-23
+++,İbrahim Özdemir,Q104862583,1991-06-23,1991-08-29
+++,Sabahattin Yalınpala,Q6022110,1991-08-29,1991-11-20
+++,Yaşar Topçu,Q6056559,1991-11-20,1993-06-25
+++,Mehmet Köstepen,Q6037300,1993-06-25,1995-04-12
+++,Ali Şevki Erek,Q6062344,1995-05-29,1995-10-31
+++,Oğuz Tezmen,Q6057841,1995-10-31,1996-03-06
+++,Ömer Barutçu,Q6064984,1996-03-06,1997-06-30
+++,Necdet Menzir,Q4561309,1997-06-30,1998-08-04
+++,Arif Ahmet Denizolgun,Q777109,1998-08-04,1999-01-11
+++,Hasan Basri Aktan,Q6048779,1999-01-11,1999-05-28
+++,Enis Öksüz,Q6039247,1999-05-28,2001-07-17
+++,Oktay Vural,Q6582991,2001-07-30,2002-08-05
+++,Naci Kınacıoğlu,Q6070178,2002-08-05,2002-11-18
+++,Binali Yıldırım,Q863496,2002-11-18,2007-05-08
+++,İsmet Yılmaz,Q8080224,2007-05-08,2007-08-29
---,Lütfi Elvan,Q6031129,2007-07-22,2020-11-10
+++,Binali Yıldırım,Q863496,2007-08-29,2011-03-08
+++,Habip Soluk,Q6043378,2011-03-08,2011-07-06
+++,Binali Yıldırım,Q863496,2011-07-06,2013-12-25
+++,Lütfi Elvan,Q6031129,2013-12-25,2015-03-06
---,Lütfi Elvan,Q6031129,2013-12-26,2015-03-07
+++,Feridun Bilgin,Q19957768,2015-03-06,2015-11-24
+++,Binali Yıldırım,Q863496,2015-11-24,2016-05-24
+++,Ahmet Arslan,Q12808316,2016-05-24,2018-07-10
