@@,itemlabel,item,startdate,enddate
+++,Celalettin Arif,Q6089352,1920-05-03,1921-03-30
+++,Yusuf Kemal Tengirşenk,Q6097845,1921-03-30,1921-05-19
+++,Refik Şevket İnce,Q6085050,1921-05-19,1922-07-09
+++,Ahmet Rifat Çalık,Q6046887,1922-07-12,1923-08-04
+++,Seyyid Bey,Q6089334,1923-08-14,1923-10-27
+++,Seyyid Bey,Q6089334,1923-10-30,1924-03-06
+++,Mustafa Necati Uğural,Q19668322,1924-03-06,1924-10-22
+++,Mahmut Esat Bozkurt,Q6099576,1924-10-22,1930-09-27
+++,Yusuf Kemal Tengirşenk,Q6097845,1930-09-27,1933-05-23
+++,Şükrü Saracoğlu,Q390725,1933-05-23,1938-11-11
+++,Hilmi Uran,Q6080286,1938-11-11,1939-01-03
+++,Tevfik Fikret Sılay,Q12812153,1939-01-03,1939-05-26
+++,Ali Fethi Okyar,Q366292,1939-05-26,1940-03-12
+++,Hasan Safyettin Menemencioğlu,Q6018114,1940-03-12,1943-03-09
+++,Ali Rıza Türel,Q12808434,1943-03-09,1946-04-06
+++,Mümtaz Ökmen,Q6076229,1946-04-06,1947-09-10
+++,Şinasi Devrin,Q6046018,1947-09-10,1948-06-10
+++,Fuat Sirmen,Q1472458,1948-06-10,1949-01-13
+++,Ali Rıza Erten,Q6031749,1949-01-13,1949-01-16
+++,Fuat Sirmen,Q1472458,1949-01-16,1950-05-22
->,Halil İbrahim Özyörük->Halil Özyörük,Q6085210->NULL,1950-05-22,1951-03-09
+++,Rüknettin Nasuhioğlu,Q6076828,1951-03-09,1952-11-10
+++,Osman Şevki Çiçekdağ,Q6033894,1952-11-10,1955-12-09
+++,Hüseyin Avni Göktürk,Q6075927,1952-12-09,1957-11-25
+++,Esat Budakoğlu,Q6045020,1957-11-25,1960-04-03
+++,Hüseyin Celal Yardımcı,Q6081672,1960-04-03,1960-05-27
+++,Abdullah Pulat Gözübüyük,Q12808258,1960-05-30,1960-08-27
+++,Mustafa Amil Artus,Q6050119,1960-08-27,1961-01-05
+++,Ekrem Tüzemen,Q6070179,1961-01-05,1961-08-17
+++,Kemal Türkoğlu,Q6031692,1961-08-17,1961-11-20
+++,Kemal Sahir Kurutluoğlu,Q12810331,1961-11-20,1962-06-25
+++,Abdülhak Kemal Yörük,Q6050700,1962-06-25,1963-12-25
+++,Mehmet Sedat Çumralı,Q6038569,1962-12-25,1964-12-15
+++,Sırrı Atalay,Q6089894,1964-12-15,1965-02-20
+++,İrfan Baran,Q6032231,1965-02-20,1965-07-31
+++,İhsan Köknel,Q6059121,1965-07-31,1965-10-27
+++,Hasan Dinçer,Q6084565,1965-10-27,1969-08-01
+++,Hidayet Aydıner,Q6040405,1969-08-01,1969-11-03
+++,Yusuf Ziya Önder,Q6052923,1969-11-03,1971-03-26
+++,İsmail Hakkı Arar,,1971-03-26,1971-12-11
+++,Suat Bilge,Q6044370,1971-12-11,1972-05-22
+++,Hasan Fehmi Alpaslan,Q6062240,1972-05-22,1973-04-15
+++,Mehmet Hayri Mumcuoğlu,Q6055062,1973-04-15,1974-01-26
+++,Şevket Kazan,Q6089838,1974-01-26,1974-11-17
+++,Mehmet Hayri Mumcuoğlu,Q6055062,1974-11-17,1975-03-31
+++,İsmail Müftüoğlu,Q6026162,1975-03-31,1977-04-11
+++,Zeyyat Baykara,Q6080881,1977-04-11,1977-06-21
+++,Selçuk Erverdi,Q6026492,1977-06-21,1977-07-21
+++,Necmettin Cevheri,Q6075790,1977-07-21,1978-01-05
+++,Mehmet Can,Q6055846,1978-01-05,1979-11-12
+++,Ömer Ucuzal,Q6032684,1979-11-12,1980-09-12
+++,Cevdet Menteş,Q6065496,1980-09-12,1983-02-08
+++,Rıfat Bayazıt,Q6042097,1983-02-08,1983-05-13
+++,Mustafa Kazım Akdoğan,Q6041667,1983-05-21,1983-12-13
+++,Mehmet Necat Eldem,Q6037410,1983-12-13,1986-10-17
+++,Mahmut Oltan Sungurlu,Q6080157,1986-10-17,1987-09-16
+++,Halil Ertem,Q6041600,1987-09-16,1987-12-21
+++,Mahmut Oltan Sungurlu,Q6080157,1987-12-21,1988-06-26
+++,Mehmet Topaç,Q6039383,1988-06-26,1989-03-30
+++,Mahmut Oltan Sungurlu,Q6080157,1989-03-30,1991-06-23
+++,Şakir Şeker,Q6023856,1991-06-23,1991-08-29
+++,Suat Bilge,Q6044370,1991-08-29,1991-11-20
+++,Mehmet Seyfi Oktay,Q6050758,1991-11-20,1994-07-27
+++,Mehmet Moğultay,Q6074950,1994-07-27,1995-10-05
->,Bekir Sami Daçe,Q6040436,1995-10-30->1995-10-05,1995-10-31
+++,Hikmet Sami Türk,Q1618055,1999-05-28,2002-08-05
+++,Aysel Çelikel,Q6080047,2002-08-05,2002-11-18
->,Cemil Çiçek,Q202971,2002-11-20->2002-11-18,2007-05-08
+++,Fahri Kasırga,Q5429626,2007-05-08,2007-08-29
+++,Sadullah Ergin,Q447762,2009-05-01,2011-03-08
+++,Ahmet Kahraman,Q6037973,2011-03-08,2011-07-06
->,Bekir Bozdağ,Q4881622,2013-12-25,2014-08-29->2015-03-06
---,Bekir Bozdağ,Q4881622,2014-08-29,2015-03-07
->,Bekir Bozdağ,Q4881622,2015-11-25->2015-11-24,2017-07-19
->,Abdulhamit Gül->Abdülhamit Gül,Q21328910,2017-07-19,2018-07-10->2022-01-29
---,Abdulhamit Gül,Q21328910,2018-07-10,2022-01-29
