item,itemLabel,startDate,endDate
Q6089352,Celalettin Arif,1920-05-03,1921-03-30
Q6097845,Yusuf Kemal Tengirşenk,1921-03-30,1921-05-19
Q6085050,Refik Şevket İnce,1921-05-19,1922-07-09
Q6046887,Ahmet Rifat Çalık,1922-07-12,1923-08-04
Q6089334,Seyyid Bey,1923-08-14,1923-10-27
Q6089334,Seyyid Bey,1923-10-30,1924-03-06
Q19668322,Mustafa Necati Uğural,1924-03-06,1924-10-22
Q6099576,Mahmut Esat Bozkurt,1924-10-22,1930-09-27
Q6097845,Yusuf Kemal Tengirşenk,1930-09-27,1933-05-23
Q390725,Şükrü Saracoğlu,1933-05-23,1938-11-11
Q6080286,Hilmi Uran,1938-11-11,1939-01-03
Q12812153,Tevfik Fikret Sılay,1939-01-03,1939-05-26
Q366292,Ali Fethi Okyar,1939-05-26,1940-03-12
Q6018114,Hasan Safyettin Menemencioğlu,1940-03-12,1943-03-09
Q12808434,Ali Rıza Türel,1943-03-09,1946-04-06
Q6076229,Mümtaz Ökmen,1946-04-06,1947-09-10
Q6046018,Şinasi Devrin,1947-09-10,1948-06-10
Q1472458,Fuat Sirmen,1948-06-10,1949-01-13
Q6031749,Ali Rıza Erten,1949-01-13,1949-01-16
Q1472458,Fuat Sirmen,1949-01-16,1950-05-22
"",Halil Özyörük,1950-05-22,1951-03-09
Q6076828,Rüknettin Nasuhioğlu,1951-03-09,1952-11-10
Q6033894,Osman Şevki Çiçekdağ,1952-11-10,1955-12-09
Q6075927,Hüseyin Avni Göktürk,1952-12-09,1957-11-25
Q6045020,Esat Budakoğlu,1957-11-25,1960-04-03
Q6081672,Hüseyin Celal Yardımcı,1960-04-03,1960-05-27
Q12808258,Abdullah Pulat Gözübüyük,1960-05-30,1960-08-27
Q6050119,Mustafa Amil Artus,1960-08-27,1961-01-05
Q6070179,Ekrem Tüzemen,1961-01-05,1961-08-17
Q6031692,Kemal Türkoğlu,1961-08-17,1961-11-20
Q12810331,Kemal Sahir Kurutluoğlu,1961-11-20,1962-06-25
Q6050700,Abdülhak Kemal Yörük,1962-06-25,1963-12-25
Q6038569,Mehmet Sedat Çumralı,1962-12-25,1964-12-15
Q6089894,Sırrı Atalay,1964-12-15,1965-02-20
Q6032231,İrfan Baran,1965-02-20,1965-07-31
Q6059121,İhsan Köknel,1965-07-31,1965-10-27
Q6084565,Hasan Dinçer,1965-10-27,1969-08-01
Q6040405,Hidayet Aydıner,1969-08-01,1969-11-03
Q6052923,Yusuf Ziya Önder,1969-11-03,1971-03-26
"",İsmail Hakkı Arar,1971-03-26,1971-12-11
Q6044370,Suat Bilge,1971-12-11,1972-05-22
Q6062240,Hasan Fehmi Alpaslan,1972-05-22,1973-04-15
Q6055062,Mehmet Hayri Mumcuoğlu,1973-04-15,1974-01-26
Q6089838,Şevket Kazan,1974-01-26,1974-11-17
Q6055062,Mehmet Hayri Mumcuoğlu,1974-11-17,1975-03-31
Q6026162,İsmail Müftüoğlu,1975-03-31,1977-04-11
Q6080881,Zeyyat Baykara,1977-04-11,1977-06-21
Q6026492,Selçuk Erverdi,1977-06-21,1977-07-21
Q6075790,Necmettin Cevheri,1977-07-21,1978-01-05
Q6055846,Mehmet Can,1978-01-05,1979-11-12
Q6032684,Ömer Ucuzal,1979-11-12,1980-09-12
Q6065496,Cevdet Menteş,1980-09-12,1983-02-08
Q6042097,Rıfat Bayazıt,1983-02-08,1983-05-13
Q6041667,Mustafa Kazım Akdoğan,1983-05-21,1983-12-13
Q6037410,Mehmet Necat Eldem,1983-12-13,1986-10-17
Q6080157,Mahmut Oltan Sungurlu,1986-10-17,1987-09-16
Q6041600,Halil Ertem,1987-09-16,1987-12-21
Q6080157,Mahmut Oltan Sungurlu,1987-12-21,1988-06-26
Q6039383,Mehmet Topaç,1988-06-26,1989-03-30
Q6080157,Mahmut Oltan Sungurlu,1989-03-30,1991-06-23
Q6023856,Şakir Şeker,1991-06-23,1991-08-29
Q6044370,Suat Bilge,1991-08-29,1991-11-20
Q6050758,Mehmet Seyfi Oktay,1991-11-20,1994-07-27
Q6074950,Mehmet Moğultay,1994-07-27,1995-10-05
Q6040436,Bekir Sami Daçe,1995-10-05,1995-10-31
Q6054378,Firuz Çilingiroğlu,1995-10-31,1996-03-06
Q735547,Mehmet Ağar,1996-03-06,1996-06-28
Q6089838,Şevket Kazan,1996-06-28,1997-06-30
Q6080157,Mahmut Oltan Sungurlu,1997-06-30,1998-08-04
Q6037508,Hasan Denizkurdu,1998-08-04,1999-01-11
Q6060905,Selçuk Öztek,1999-01-11,1999-05-28
Q1618055,Hikmet Sami Türk,1999-05-28,2002-08-05
Q6080047,Aysel Çelikel,2002-08-05,2002-11-18
Q202971,Cemil Çiçek,2002-11-18,2007-05-08
Q5429626,Fahri Kasırga,2007-05-08,2007-08-29
Q1396517,Mehmet Ali Şahin,2007-08-29,2009-05-01
Q447762,Sadullah Ergin,2009-05-01,2011-03-08
Q6037973,Ahmet Kahraman,2011-03-08,2011-07-06
Q447762,Sadullah Ergin,2011-07-06,2013-12-25
Q4881622,Bekir Bozdağ,2013-12-25,2015-03-06
Q17430893,Kenan İpek,2015-03-07,2015-11-24
Q4881622,Bekir Bozdağ,2015-11-24,2017-07-19
Q21328910,Abdülhamit Gül,2017-07-19,2022-01-29
Q4881622,Bekir Bozdağ,2022-01-29,
