position,title
Q20988385,Governor of Diyarbakır
Q20949456,Governor of Düzce
Q20988387,Governor of Erzurum
Q20988389,Governor of Gaziantep
Q20988404,Governor of Malatya
Q20988412,Governor of Niğde
Q20988416,Governor of Siirt
Q20988371,Governor of Tekirdağ
Q20988417,Governor of Şırnak
Q6020671,Deputy Speaker of the Grand National Assembly
Q26254125,mayor of Ankara
Q62924547,mayor of İzmir
Q74236068,mayor of Konya
Q38130250,ambassador to Angola
Q38130128,ambassador to Australia
Q110852986,ambassador to Austria
Q38129980,ambassador to Bahrain
Q38129916,ambassador to Bangladesh
Q38132510,ambassador to Bosnia and Herzegovina
Q40338419,ambassador to Canada
Q37804689,ambassador to Chile
Q38126779,ambassador to Cuba
Q38132293,ambassador to Côte d'Ivoire
Q110627932,ambassador to Ecuador
Q38130354,ambassador to Ethiopia
Q37803860,ambassador to Finland
Q18210622,ambassador to France
Q38150341,ambassador to Germany
Q38126650,ambassador to Ghana
Q38130758,ambassador to Hungary
Q38152783,ambassador to Iraq
Q85098838,ambassador to Italy
Q110627911,ambassador to Japan
Q38131770,ambassador to Jordan
Q38131482,ambassador to Kenya
Q38130472,ambassador to Lebanon
Q30504813,ambassador to Mali
Q30504896,ambassador to Moldova
Q30504904,ambassador to Montenegro
Q38126847,ambassador to Mozambique
Q30504931,ambassador to New Zealand
Q38131407,ambassador to Nigeria
Q30504843,ambassador to North Macedonia
Q30504960,ambassador to Peru
Q107428519,ambassador to Qatar
Q110627980,ambassador to the Russian Federation
Q98379982,ambassador to Senegal
Q38131229,ambassador to Serbia
Q30505012,ambassador to Singapore
Q30505029,ambassador to Slovakia
Q38131074,ambassador to Slovenia
Q38130859,ambassador to South Korea
Q110627938,ambassador to the Soviet Union
Q110627731,ambassador to Spain
Q37802602,ambassador to Sudan
Q38131307,ambassador to Sweden
Q37802792,ambassador to Tajikistan
Q37802911,ambassador to Tanzania
Q37803039,ambassador to Turkmenistan
Q37803143,ambassador to Uganda
Q37803309,ambassador to the United Arab Emirates
Q91939641,ambassador to the United Kingdom
Q110627652,ambassador to the United States of America
Q110627921,ambassador to Uzbekistan
Q37803212,ambassador to Venezuela
Q18355129,ambassador to Yugoslavia
Q30505003,ambassador to Zambia
Q27681141,Commander of the Land Forces
